No,Date,Crossroads,Road,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,Total_Vol,Lat,Long
1, 2023-04-03,หทัยมิตร - นิมิตรใหม่ ,นิมิตรใหม่ ,3329,1761,3,2,742,3,9622,7306,16,0,4186,18,2993,1946,12,2,641,1,32583,13.859775,100.73188
2, 2023-04-03,หทัยมิตร - นิมิตรใหม่ ,หทัยมิตร ,927,492,0,2,43,0,2341,1578,0,1,549,1,734,458,1,1,47,0,7175,13.859775,100.73188
3, 2023-04-03,ระหว่างซอยนิมิตรใหม่ 33 - 35,นิมิตรใหม่ ,1955,1950,1,0,489,0,6826,6072,6,0,3743,0,2011,1479,1,0,425,1,24959,13.885933,100.731701
4, 2023-04-04,พงษ์เพชร,ประชาชื่น,3622,822,57,0,15,0,14862,4555,236,0,246,12,5169,1029,33,0,30,3,30691,13.856209,100.545104
5, 2023-04-04,พงษ์เพชร,งามวงศ์วาน,15368,4514,160,2,236,15,50346,20010,492,14,2035,59,11157,4296,108,3,146,6,108967,13.856209,100.545104
6, 2023-04-05,ลำสาลี,ศรีนครินทร์,2010,742,219,18,12,13,7671,3555,734,107,97,21,2063,735,147,13,27,1,18185,13.762717,100.645628
7, 2023-04-05,ลำสาลี,รามคำแหง,9014,2684,103,8,92,24,31106,10867,492,50,657,100,8608,2725,147,16,53,15,66761,13.762717,100.645628
8, 2023-04-07,สี่แยกลาดหญ้า,ท่าดินแดง,734,236,40,7,8,126,2832,935,135,37,76,303,864,236,44,15,19,79,6726,13.728713,100.500985
9, 2023-04-07,สี่แยกลาดหญ้า,อิสรภาพ,568,137,11,0,5,83,2681,633,35,0,67,361,737,178,6,0,11,89,5602,13.728713,100.500985
10, 2023-04-10,นิคมอุตสาหกรรมลาดกระบัง,ฉลองกรุง,4222,2358,54,4,375,1,11817,8947,138,5,2641,10,3804,2255,74,1,366,1,37073,13.755756,100.79797
11, 2023-04-10,นิคมอุตสาหกรรมลาดกระบัง,ฉลองกรุง 31,582,701,16,0,253,0,2148,2772,26,0,1621,0,875,476,21,0,176,0,9667,13.755756,100.79797
12, 2023-04-10,นิคมอุตสาหกรรมลาดกระบัง,ซอยส่วนบุคคล,8,10,0,0,0,1,32,45,0,0,0,1,8,18,0,0,1,0,124,13.755756,100.79797
13, 2023-04-11,จุดกลับรถปากซอยอ่อนนุช 59,อ่อนนุช 59,36,21,0,0,0,0,216,103,0,0,25,6,52,14,0,0,4,2,479,13.719639,100.674242
14, 2023-04-11,จุดกลับรถปากซอยอ่อนนุช 59,อ่อนนุช,2779,1126,31,8,32,11,15525,7397,159,41,722,58,5485,2016,61,11,90,17,35569,13.719639,100.674242
15, 2023-04-11,ปากซอยอ่อนนุช 74/3,อ่อนนุช 74/3,27,18,0,0,0,0,41,27,0,0,0,1,11,9,0,0,0,0,134,13.718038,100.664381
16, 2023-04-11,ปากซอยอ่อนนุช 74/3,อ่อนนุช,4984,1929,84,10,125,25,18121,8075,278,38,826,55,5152,2080,58,10,82,15,41947,13.718038,100.664381
